城市编码,区域年鉴.年份,城市别名,级别
410800,2000,焦作市,地级市（区）
410900,2000,濮阳市,地级市（区）
411000,2000,许昌市,地级市（区）
411100,2000,漯河市,地级市（区）
411200,2000,三门峡市,地级市（区）
411300,2000,南阳市,地级市（区）
411400,2000,商丘市,地级市（区）
411500,2000,信阳市,地级市（区）
411600,2000,周口市,地级市（区）
411700,2000,驻马店市,地级市（区）
419001,2000,济源市,省直辖县
420100,2000,武汉市,副省级城市
420200,2000,黄石市,地级市（区）
420300,2000,十堰市,地级市（区）
420500,2000,宜昌市,地级市（区）
420600,2000,襄阳市,地级市（区）
420700,2000,鄂州市,地级市（区）
420800,2000,荆门市,地级市（区）
420900,2000,孝感市,地级市（区）
421000,2000,荆州市,地级市（区）
421100,2000,黄冈市,地级市（区）
421200,2000,咸宁市,地级市（区）
421300,2000,随州市,地级市（区）
422800,2000,恩施土家族苗族自治州,地级市（区）
429004,2000,仙桃市,省直辖县
429005,2000,潜江市,省直辖县
429006,2000,天门市,省直辖县
429021,2000,神农架林区,省直辖县
430100,2000,长沙市,地级市（区）
430200,2000,株洲市,地级市（区）
430300,2000,湘潭市,地级市（区）
430400,2000,衡阳市,地级市（区）
430500,2000,邵阳市,地级市（区）
430600,2000,岳阳市,地级市（区）
430700,2000,常德市,地级市（区）
430800,2000,张家界市,地级市（区）
430900,2000,益阳市,地级市（区）
431000,2000,郴州市,地级市（区）
431100,2000,永州市,地级市（区）
431200,2000,怀化市,地级市（区）
431300,2000,娄底市,地级市（区）
433100,2000,湘西土家族苗族自治州,地级市（区）
440100,2000,广州市,副省级城市
440200,2000,韶关市,地级市（区）
440300,2000,深圳市,副省级城市
440400,2000,珠海市,地级市（区）
440500,2000,汕头市,地级市（区）
440600,2000,佛山市,地级市（区）
440700,2000,江门市,地级市（区）
440800,2000,湛江市,地级市（区）
440900,2000,茂名市,地级市（区）
441200,2000,肇庆市,地级市（区）
441300,2000,惠州市,地级市（区）
441400,2000,梅州市,地级市（区）
441500,2000,汕尾市,地级市（区）
441600,2000,河源市,地级市（区）
441700,2000,阳江市,地级市（区）
441800,2000,清远市,地级市（区）
441900,2000,东莞市,地级市（区）
442000,2000,中山市,地级市（区）
445100,2000,潮州市,地级市（区）
445200,2000,揭阳市,地级市（区）
445300,2000,云浮市,地级市（区）
450100,2000,南宁市,地级市（区）
450200,2000,柳州市,地级市（区）
450300,2000,桂林市,地级市（区）
450400,2000,梧州市,地级市（区）
450500,2000,北海市,地级市（区）
450600,2000,防城港市,地级市（区）
450700,2000,钦州市,地级市（区）
450800,2000,贵港市,地级市（区）
