,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
2148,隋振江,男,汉族,8/1/1963,辽宁省,盘锦市,大洼市,硕士,4/1/1984,在职,,,,,,,,,,,,,,,,
2149,孙文锴,男,汉族,5/1/1966,黑龙江省,鸡西市,密山市,博士,6/1/1985,在职,,,,,,,,,,,,,,,,
2150,苟仲文,男,汉族,6/1/1957,甘肃省,庆阳市,镇原,博士,4/1/1976,在职,,,,,,,,,,,,,,,,
2151,姜志刚,男,汉族,8/1/1960,江苏省,连云港市,东海县,硕士,8/1/1986,在职,,,,,,,,,,,,,,,,
2152,李伟,男,汉族,1/1/1958,江苏省,苏州市,张家港,硕士,7/1/1977,在职,,,,,,,,,,,,,,,,
2153,陈刚（湖北）,男,汉族,5/1/1966,湖北省,咸宁市,崇阳县,硕士,5/1/1988,在职,,,,,,,,,,,,,,,,
2154,傅政华,男,汉族,3/1/1955,河北省,唐山市,滦县,专科,9/1/1973,在职,,,,,,,,,,,,,,,,
2155,赵凤桐,男,汉族,12/1/1954,辽宁省,辽阳市,,硕士,,在职,,,,,,,,,,,,,,,,
2156,牛有成,男,汉族,3/1/1955,北京市,,,硕士,9/1/1974,在职,,,,,,,,,,,,,,,,
2157,李士祥,男,汉族,8/1/1958,北京市,,,硕士,3/1/1982,在职,,,,,,,,,,,,,,,,
2158,吕锡文,女,汉族,7/1/1955,浙江省,宁波市,,本科,8/1/1982,在职,,,,,,,,,,,,,,,,
2159,吉林,男,汉族,4/1/1962,上海市,,,硕士,5/1/1984,在职,,,,,,,,,,,,,,,,
2160,王安顺,男,汉族,12/1/1957,河南省,新乡市,辉县,硕士,3/1/1984,在职,,,,,,,,,,,,,,,,
2161,郭连山,男,汉族,10/1/1955,河南省,周口市,项城市,硕士,6/1/1976,在职,,,,,,,,,,,,,,,,
2162,白志杰,男,汉族,7/1/1955,陕西省,榆林市,横山县,本科,2/1/1978,在职,,,,,,,,,,,,,,,,
2163,芒力克·斯依提,男,维吾尔族,9/1/1962,新疆维吾尔自治区,吐鲁番地区,鄯善县,本科,11/1/1984,在职,,,,,,,,,,,,,,,,
2164,古丽夏提·阿不都卡德尔,女,维吾尔族,12/1/1957,新疆维吾尔自治区,喀什地区,,本科,8/1/1978,在职,,,,,,,,,,,,,,,,
2165,巨艾提·伊明,男,维吾尔族,11/1/1958,新疆维吾尔自治区,和田地区,,硕士,6/1/1985,在职,,,,,,,,,,,,,,,,
2166,阿布拉江·依明,男,维吾尔族,11/1/1948,新疆维吾尔自治区,塔城地区,,专科,3/1/1982,退休,,,,,,,,,,,,,,,,
2167,库热西·买合苏提,男,维吾尔族,3/1/1960,新疆维吾尔自治区,和田地区,皮山县,硕士,1/1/1984,在职,,,,,,,,,,,,,,,,
2168,闫国灿,男,汉族,,,,,,,在职,,,,,,,,,,,,,,,,
2169,闫汾新,男,汉族,3/1/1956,山西省,吕梁市,汾阳市,本科,7/1/1978,在职,,,,,,,,,,,,,,,,
2170,程振山,男,汉族,5/1/1957,河北省,石家庄市,高邑县,硕士,7/1/1982,在职,,,,,,,,,,,,,,,,
2171,艾则孜·木沙?,男,维吾尔族,2/1/1962,新疆维吾尔自治区,阿克苏地区,沙雅县,硕士,12/1/1984,在职,,,,,,,,,,,,,,,,
2172,艾尔肯·吐尼亚孜,男,维吾尔族,12/1/1961,新疆维吾尔自治区,阿克苏地区,,硕士,7/1/1983,在职,,,,,,,,,,,,,,,,
2173,曾存,男,汉族,11/1/1965,四川省,广安市,,硕士,7/1/1987,在职,,,,,,,,,,,,,,,,
2174,史大刚,男,汉族,11/1/1958,山西省,运城市,稷山县,本科,8/1/1986,在职,,,,,,,,,,,,,,,,
2175,艾克拜尔·吾甫尔,男,维吾尔族,1/1/1959,新疆维吾尔自治区,阿克苏地区,,硕士,,在职,,,,,,,,,,,,,,,,
2176,窦万贵,男,汉族,10/1/1962,江苏省,徐州市,铜山区,本科,,在职,,,,,,,,,,,,,,,,
2177,黄三平,男,汉族,3/1/1957,湖北省,武汉市,黄陂区,硕士,6/1/1978,在职,,,,,,,,,,,,,,,,
2178,朱昌杰,男,汉族,6/1/1957,山东省,菏泽市,东明县,硕士,4/1/1985,在职,,,,,,,,,,,,,,,,
2179,麦尔丹·木盖提,男,维吾尔族,6/1/1968,新疆维吾尔自治区,乌鲁木齐市,,硕士,6/1/1993,在职,,,,,,,,,,,,,,,,
2180,穆铁礼甫·哈斯木,男,维吾尔族,7/1/1957,新疆维吾尔自治区,巴音郭楞蒙古自治州,且末县,硕士,10/1/1980,在职,,,,,,,,,,,,,,,,
2181,张金标,男,汉族,11/1/1963,河北省,沧州市,献县,硕士,11/1/1989,在职,,,,,,,,,,,,,,,,
2182,帕尔哈提·吐尔地,男,柯尔克孜族,8/1/1957,新疆维吾尔自治区,克孜勒苏柯尔克孜自治州,阿克陶县,硕士,12/1/1986,在职,,,,,,,,,,,,,,,,
2183,彭家瑞,男,汉族,4/1/1961,甘肃省,武威市,,硕士,,在职,,,,,,,,,,,,,,,,
2184,张博,男,汉族,6/1/1957,湖北省,宜昌市,当阳市,硕士,1/1/1982,在职,,,,,,,,,,,,,,,,
2185,史建勇?,男,蒙古族,1/1/1958,内蒙古自治区,鄂尔多斯市,达拉特旗,本科,3/1/1980,在职,,,,,,,,,,,,,,,,
2186,李建国(河南省),男,汉族,1/1/1959,河南省,信阳市,罗山县,本科,4/1/1986,在职,,,,,,,,,,,,,,,,
2187,李学军,男,汉族,12/1/1960,甘肃省,定西市,临洮县,硕士,,在职,,,,,,,,,,,,,,,,
2188,钱智,男,汉族,10/1/1956,山东省,济南市,商河县,本科,2/1/1985,在职,,,,,,,,,,,,,,,,
2189,刘志勇(新疆维吾尔自治区),男,回族,10/1/1955,新疆维吾尔自治区,巴音郭楞蒙古自治州,焉耆回族自治县,硕士,6/1/1978,在职,,,,,,,,,,,,,,,,
2190,马明成,男,回族,11/1/1955,新疆维吾尔自治区,昌吉回族自治州,米泉市,硕士,7/1/1976,在职,,,,,,,,,,,,,,,,
2191,马雄成,男,回族,10/1/1958,新疆维吾尔自治区,昌吉回族自治州,米泉市,硕士,5/1/1983,在职,,,,,,,,,,,,,,,,
2192,赵青,男,汉族,10/1/1961,山东省,济南市,平阴,硕士,6/1/1989,在职,,,,,,,,,,,,,,,,
2193,史少林,男,汉族,2/1/1959,陕西省,渭南市,,硕士,10/1/1979,在职,,,,,,,,,,,,,,,,
2194,奥曲尔,男,蒙古族,12/1/1956,新疆维吾尔自治区,巴音郭楞蒙古自治州,博湖县,本科,12/1/1986,在职,,,,,,,,,,,,,,,,
2195,乔吉甫,男,蒙古族,12/1/1950,新疆维吾尔自治区,伊犁哈萨克自治州,乔吉甫县,本科,4/1/1971,在职,,,,,,,,,,,,,,,,
2196,李湘林,男,汉族,9/1/1956,山东省,潍坊市,昌邑市,硕士,9/1/1990,在职,,,,,,,,,,,,,,,,
2197,张继勋,男,汉族,3/1/1950,山东省,菏泽市,单县,本科,6/1/1972,退休,,,,,,,,,,,,,,,,
2198,张国梁,男,汉族,8/1/1948,上海市,,,本科,3/1/1972,在职,,,,,,,,,,,,,,,,
2199,马宁·再尼勒,男,哈萨克族,11/1/1958,新疆维吾尔自治区,阿勒泰地区,富蕴县,硕士,8/1/1985,在职,,,,,,,,,,,,,,,,
2200,毛肯·赛衣提哈木扎,男,哈萨克族,11/1/1952,新疆维吾尔自治区,阿勒泰地区,,专科,9/1/1975,在职,,,,,,,,,,,,,,,,
2201,柯赛江·赛力禾加,男,哈萨克族,12/1/1950,新疆维吾尔自治区,伊犁哈萨克自治州,特克斯县,专科,8/1/1972,退休,,,,,,,,,,,,,,,,
2202,努尔兰·阿不都满金,男,哈萨克族,12/1/1962,新疆维吾尔自治区,伊犁哈萨克自治州,霍城,硕士,5/1/1985,在职,,,,,,,,,,,,,,,,
2203,沙尔合提·阿汗,男,哈萨克族,11/1/1961,新疆维吾尔自治区,阿勒泰地区,福海县,硕士,4/1/1987,在职,,,,,,,,,,,,,,,,
2204,铁力瓦尔迪·阿不都热西提,男,哈萨克族,3/1/1953,新疆维吾尔自治区,伊犁哈萨克自治州,新源县,本科,12/1/1976,在职,,,,,,,,,,,,,,,,
2205,邓章武,男,汉族,11/1/1962,湖南省,长沙市,浏阳市,硕士,7/1/1985,在职,,,,,,,,,,,,,,,,
2206,张汉东,男,汉族,7/1/1958,新疆维吾尔自治区,昌吉回族自治州,米泉市,博士,12/1/1986,在职,,,,,,,,,,,,,,,,
2207,塔里哈提·吾逊,男,哈萨克族,1/1/1963,新疆维吾尔自治区,塔城地区,托里县,硕士,6/1/1990,在职,,,,,,,,,,,,,,,,
2208,沙布尔,男,哈萨克族,5/1/1954,新疆维吾尔自治区,塔城地区,,硕士,,在职,,,,,,,,,,,,,,,,
2209,毛肯·赛提哈木扎,男,哈萨克族,11/1/1952,新疆维吾尔自治区,阿勒泰地区,青河县,专科,9/1/1975,在职,,,,,,,,,,,,,,,,
2210,司马义·铁力瓦尔地,男,维吾尔族,11/1/1944,新疆维吾尔自治区,喀什地区,,本科,5/1/1973,在职,,,,,,,,,,,,,,,,
2211,努尔·白克力,男,维吾尔族,8/1/1961,新疆维吾尔自治区,博尔塔拉蒙古自治州,博乐县,硕士,12/1/1982,在职,,,,,,,,,,,,,,,,
2212,胡家燕,女,汉族,11/1/1945,辽宁省,沈阳市,辽中县,本科,5/1/1977,退休,,,,,,,,,,,,,,,,
2213,王金祥,男,汉族,4/1/1947,江苏省,无锡市,宜兴市,硕士,4/1/1980,退休,,,,,,,,,,,,,,,,
2214,张秀明,男,汉族,2/1/1946,山东省,德州市,宁津县,本科,2/1/1975,退休,,,,,,,,,,,,,,,,
2215,杨刚,男,汉族,1/1/1953,河北省,石家庄市,藁城,硕士,,立案查处,是,贪污腐败,,否,12/27/2013,中纪委,,,,,,,,,,
2216,陈雷,男,汉族,6/1/1954,北京市,,,硕士,,在职,,,,,,,,,,,,,,,,
2217,韩勇,男,汉族,10/1/1956,吉林省,长春市,九台市,硕士,4/1/1976,在职,,,,,,,,,,,,,,,,
2218,吴敦夫,男,汉族,3/1/1945,河南省,新乡市,卫辉市,硕士,4/1/1980,退休,,,,,,,,,,,,,,,,
2219,李屹,男,汉族,2/1/1960,四川省,达州市,渠县,本科,5/1/1983,在职,,,,,,,,,,,,,,,,
2220,胡伟,男,汉族,1/1/1962,浙江省,湖州市,德清县,博士,3/1/1984,在职,,,,,,,,,,,,,,,,
2221,符强,男,汉族,11/1/1947,四川省,资阳市,简阳市,本科,1/1/1975,退休,,,,,,,,,,,,,,,,
2222,熊选国,男,汉族,12/1/1964,湖南省,常德市,,博士,6/1/1986,在职,,,,,,,,,,,,,,,,
2223,宋爱荣,女,汉族,9/1/1959,河南省,周口市,扶沟县,硕士,1/1/1981,在职,,,,,,,,,,,,,,,,
2224,黄卫,男,汉族,4/1/1961,江苏省,南通市,通州区,博士,7/1/1982,在职,,,,,,,,,,,,,,,,
2225,喻林祥,男,汉族,1/1/1945,湖北省,孝感市,应城市,不详,4/1/1966,在职,,,,,,,,,,,,,,,,
2226,田修思,男,汉族,2/1/1950,河南省,焦作市,孟州市,本科,6/1/1968,在职,,,,,,,,,,,,,,,,
2227,朱锦林,男,汉族,3/1/1950,浙江省,杭州市,,硕士,,在职,,,,,,,,,,,,,,,,
2228,王建民,男,汉族,11/1/1951,甘肃省,庆阳市,,专科,,在职,,,,,,,,,,,,,,,,
2229,彭勇,男,汉族,1/1/1954,河北省,秦皇岛市,卢龙县,本科,8/1/1971,退休,,,,,,,,,,,,,,,,
2230,刘雷,男,汉族,1/1/1957,山东省,聊城市,,博士,,在职,,,,,,,,,,,,,,,,
2231,艾力更·依明巴海,男,维吾尔族,9/1/1953,新疆维吾尔自治区,喀什地区,英吉沙县,本科,6/1/1980,在职,,,,,,,,,,,,,,,,
2232,肖开提依明,男,维吾尔族,12/1/1959,新疆维吾尔自治区,昌吉回族自治州,玛纳斯县,硕士,6/1/1981,在职,,,,,,,,,,,,,,,,
2233,尔肯江-吐拉洪,男,维吾尔族,6/1/1964,新疆维吾尔自治区,喀什地区,,硕士,1/1/1985,在职,,,,,,,,,,,,,,,,
2234,哈尼巴提-沙布开,男,哈萨克族,9/1/1957,新疆维吾尔自治区,阿勒泰地区,布尔津,硕士,8/1/1984,在职,,,,,,,,,,,,,,,,
2235,李佳(辽宁省),男,汉族,1/1/1961,辽宁省,大连市,,博士,3/1/1985,在职,,,,,,,,,,,,,,,,
2236,林国强,男,汉族,10/1/1948,山东省,烟台市,,本科,12/1/1979,退休,,,,,,,,,,,,,,,,
2237,陈向群,男,汉族,11/1/1962,河北省,唐山市,丰润区,本科,6/1/1982,在职,,,,,,,,,,,,,,,,
2238,黄方方,男,壮族,10/1/1958,广西壮族自治区,崇左市,天等县,博士,12/1/1981,在职,,,,,,,,,,,,,,,,
2239,周红波,男,汉族,10/1/1970,广西壮族自治区,桂林市,临桂区,本科,4/1/1997,在职,,,,,,,,,,,,,,,,
2240,马飚,男,壮族,8/1/1954,广西壮族自治区,百色市,田阳县,本科,6/1/1985,在职,,,,,,,,,,,,,,,,
2241,车荣福,男,汉族,12/1/1951,江西省,宜春市,丰城市,本科,4/1/1973,在职,,,,,,,,,,,,,,,,
2242,陈武,男,壮族,11/1/1954,广西壮族自治区,崇左市,,硕士,2/1/1975,在职,,,,,,,,,,,,,,,,
2243,余远辉,男,瑶族,1/1/1964,广西壮族自治区,桂林市,恭城县,博士,12/1/1984,立案查处,,违纪,,,5/22/2015,中纪委,,,,,,,,,,
2244,陈刚(广西壮族自治区),男,汉族,7/1/1959,广西壮族自治区,桂林市,永福县,硕士,7/1/1989,在职,,,,,,,,,,,,,,,,
2245,郑俊康,男,汉族,10/1/1959,浙江省,宁波市,,本科,6/1/1988,在职,,,,,,,,,,,,,,,,
2246,肖文荪,男,汉族,9/1/1964,江西省,吉安市,新干县,硕士,6/1/1986,死亡,,,,,,,,,,,,,,,,
2247,沈北海,男,汉族,8/1/1954,安徽省,巢湖市,无为县,本科,5/1/1977,在职,,,,,,,,,,,,,,,,
2248,吴集成,男,汉族,1/1/1947,广东省,佛山市,南海区,本科,,退休,,,,,,,,,,,,,,,,
2249,蒋济雄,男,汉族,1/1/1952,广西壮族自治区,桂林市,全州县,硕士,2/1/1972,在职,,,,,,,,,,,,,,,,
2250,李金早,男,汉族,1/1/1958,湖北省,仙桃市,仙桃市,博士,2/1/1976,在职,,,,,,,,,,,,,,,,
2251,莫永清,男,汉族,10/1/1952,广西壮族自治区,北海市,合浦县,本科,6/1/1972,在职,,,,,,,,,,,,,,,,
2252,王跃飞,男,汉族,7/1/1959,河南省,洛阳市,嵩县,硕士,6/1/1981,在职,,,,,,,,,,,,,,,,
2253,张秀隆,男,汉族,5/1/1958,湖南省,怀化市,,硕士,10/1/1976,在职,,,,,,,,,,,,,,,,
2254,李志刚,男,汉族,10/1/1956,河北省,保定市,新城县,硕士,2/1/1981,在职,,,,,,,,,,,,,,,,
2255,黄俊华,男,壮族,8/1/1963,广西壮族自治区,百色市,德保县,博士,6/1/1992,在职,,,,,,,,,,,,,,,,
2256,高雄,男,汉族,3/1/1955,山东省,威海市,荣成市,硕士,8/1/1974,在职,,,,,,,,,,,,,,,,
2257,刘君,男,汉族,3/1/1957,湖南省,衡阳市,衡南县,博士,5/1/1976,在职,,,,,,,,,,,,,,,,
2258,钟想廷,男,壮族,12/1/1953,广西壮族自治区,柳州市,鹿寨县,硕士,9/1/1973,退休,,,,,,,,,,,,,,,,
2259,王凯,男,汉族,7/1/1962,河南省,洛阳市,,博士,12/1/1984,在职,,,,,,,,,,,,,,,,
2260,朱学庆,男,汉族,4/1/1964,河南省,郑州市,,硕士,12/1/1984,在职,,,,,,,,,,,,,,,,
2261,文子忠,男,汉族,,,,,本科,,退休,,,,,,,,,,,,,,,,
2262,任燮康,男,汉族,12/1/1955,江西省,宜春市,丰城市,硕士,,在职,,,,,,,,,,,,,,,,
2263,刘志勇(黑龙江省),男,满族,10/1/1955,黑龙江省,佳木斯市,桦川县,本科,12/1/1976,在职,,,,,,,,,,,,,,,,
2264,唐成良,男,汉族,12/1/1951,湖南省,邵阳市,,硕士,12/1/1974,在职,,,,,,,,,,,,,,,,
2265,连友农,男,汉族,12/1/1953,山西省,长治市,襄垣县,本科,9/1/1988,在职,,,,,,,,,,,,,,,,
2266,周家斌,男,汉族,9/1/1964,山东省,菏泽市,鄄城县,博士,5/1/1986,在职,,,,,,,,,,,,,,,,
2267,温卡华,男,壮族,10/1/1955,广西壮族自治区,玉林市,陆川县,博士,7/1/1982,在职,,,,,,,,,,,,,,,,
2268,王小东,男,汉族,1/1/1962,山西省,大同市,灵丘县,硕士,5/1/1980,在职,,,,,,,,,,,,,,,,
2269,尹建国,男,汉族,8/1/1952,河南省,开封市,,硕士,6/1/1982,在职,,,,,,,,,,,,,,,,
2270,范晓莉,女,回族,11/1/1961,吉林省,吉林市,敦化县,博士,3/1/1983,在职,,,,,,,,,,,,,,,,
2271,陈秋华,男,汉族,7/1/1964,湖南省,娄底市,娄底县,博士,11/1/1996,立案查处,,违纪,,,3/6/2015,广西省纪委,,,,,,,,,,
2272,莫恭明,男,汉族,9/1/1962,广西壮族自治区,梧州市,岑溪县,硕士,1/1/1988,在职,,,,,,,,,,,,,,,,
2273,何朝建,男,壮族,5/1/1966,广西壮族自治区,百色市,田阳县,硕士,3/1/1998,在职,,,,,,,,,,,,,,,,
2274,徐文彦,男,汉族,10/1/1945,山东省,聊城市,阳谷县,本科,12/1/1965,在职,,,,,,,,,,,,,,,,
2275,朱军,男,汉族,2/1/1953,广西壮族自治区,玉林市,博白县,本科,11/1/1974,退休,,,,,,,,,,,,,,,,
2276,禤沛钧,男,汉族,8/1/1954,广西壮族自治区,梧州市,苍梧县,本科,1/1/1974,在职,,,,,,,,,,,,,,,,
2277,刘正东,男,汉族,9/1/1958,四川省,乐山市,峨边彝族自治县,硕士,3/1/1984,在职,,,,,,,,,,,,,,,,
2278,李康,女,壮族,5/1/1957,广西壮族自治区,崇左市,扶绥县,硕士,6/1/1981,在职,,,,,,,,,,,,,,,,
2279,黄道伟,男,汉族,10/1/1957,广西壮族自治区,玉林市,博白县,硕士,11/1/1976,在职,,,,,,,,,,,,,,,,
2280,汤世保,男,汉族,1/1/1950,江西省,吉安市,,专科,1/1/1979,退休,,,,,,,,,,,,,,,,
2281,张晓钦,男,汉族,1/1/1968,江苏省,南通市,,硕士,5/1/1988,在职,,,,,,,,,,,,,,,,
2282,肖莺子,女,壮族,3/1/1963,广西壮族自治区,来宾市,,硕士,12/1/1987,在职,,,,,,,,,,,,,,,,
2283,李新元,男,汉族,10/1/1962,江苏省,泰州市,泰兴县,硕士,3/1/1989,在职,,,,,,,,,,,,,,,,
2284,梁胜利,男,壮族,8/1/1953,广西壮族自治区,百色市,田阳县,硕士,11/1/1974,在职,,,,,,,,,,,,,,,,
2285,谢建辰,男,汉族,6/1/1953,湖南省,娄底市,双峰县,硕士,10/1/1973,退休,,,,,,,,,,,,,,,,
2286,赖德荣,男,汉族,7/1/1957,广西壮族自治区,北海市,,硕士,1/1/1976,在职,,,,,,,,,,,,,,,,
2287,李宁波,男,汉族,1/1/1962,福建省,福州市,闽侯县,硕士,6/1/1985,在职,,,,,,,,,,,,,,,,
2288,覃远通,男,汉族,7/1/1949,广西壮族自治区,桂林市,荔浦县,硕士,7/1/1979,退休,,,,,,,,,,,,,,,,
2289,王可,男,汉族,11/1/1962,湖南省,益阳市,南县,硕士,,在职,,,,,,,,,,,,,,,,
2290,李达球,男,汉族,10/1/1953,广西壮族自治区,贺州市,昭平县,硕士,10/1/1973,立案查处,是,贪污腐败,,否,7/6/2013,中纪委,是,受贿罪,人民币1095万元,8/28/2014,吉林省,延边朝鲜族自治州,15年有期徒刑,否,,
2291,金湘军,男,汉族,7/1/1964,湖南省,永州市,江华瑶族自治县,博士,11/1/1984,在职,,,,,,,,,,,,,,,,
2292,韩元利,男,汉族,5/1/1958,安徽省,马鞍山市,和县,硕士,8/1/1986,在职,,,,,,,,,,,,,,,,
2293,方皓,男,汉族,,,,,,,在职,,,,,,,,,,,,,,,,
2294,文明,男,汉族,11/1/1951,广西壮族自治区,南宁市,,硕士,6/1/1977,在职,,,,,,,,,,,,,,,,
2295,梁春禄,男,汉族,5/1/1952,广西壮族自治区,梧州市,,硕士,1/1/1973,降/辞/撤职,否,违纪,据传为群体性事件，留党察看一年,否,10/31/2010,,,,,,,,,,,
2296,谢泽宇,男,汉族,1/1/1956,广西壮族自治区,桂林市,,本科,1/1/1978,在职,,,,,,,,,,,,,,,,
2297,周异决,男,壮族,12/1/1965,广西壮族自治区,贵港市,,博士,12/1/1987,在职,,,,,,,,,,,,,,,,
2298,彭晓春,男,汉族,11/1/1961,广西壮族自治区,北海市,合浦县,博士,4/1/1985,在职,,,,,,,,,,,,,,,,
2299,陈利丹,男,汉族,5/1/1954,湖南省,衡阳市,祁东县,博士,6/1/1974,死亡,,,,,,,,,,,,,,,,
2300,白希,男,满族,12/1/1961,辽宁省,沈阳市,新民县,博士,1/1/1985,在职,,,,,,,,,,,,,,,,
2301,赵德明,男,瑶族,9/1/1963,广西壮族自治区,来宾市,金秀瑶族自治县,硕士,6/1/1984,在职,,,,,,,,,,,,,,,,
2302,杨才寿,男,汉族,2/1/1951,广西壮族自治区,贵港市,,硕士,12/1/1973,死亡,,,,,,,,,,,,,,,,
2303,蓝天立,男,壮族,10/1/1962,广西壮族自治区,河池市,宜州县,博士,6/1/1985,在职,,,,,,,,,,,,,,,,
2304,谢志刚,男,汉族,10/1/1956,广西壮族自治区,柳州市,融水苗族自治县,硕士,11/1/1982,在职,,,,,,,,,,,,,,,,
2305,何辛幸,男,汉族,9/1/1962,山东省,滨州市,,硕士,5/1/1985,在职,,,,,,,,,,,,,,,,
2306,黄世勇,男,壮族,7/1/1961,广西壮族自治区,河池市,都安瑶族自治县,硕士,1/1/1988,在职,,,,,,,,,,,,,,,,
2307,张少康,男,汉族,7/1/1951,广西壮族自治区,贵港市,,本科,8/1/1974,在职,,,,,,,,,,,,,,,,
2308,杨和荣,男,汉族,11/1/1958,江西省,宜春市,,博士,6/1/1984,在职,,,,,,,,,,,,,,,,
2309,覃瑞祥,男,汉族,7/1/1952,广西壮族自治区,玉林市,北流县,硕士,12/1/1971,在职,,,,,,,,,,,,,,,,
2310,肖化,男,土家族,11/1/1955,湖北省,宜昌市,长阳土家族自治县,硕士,3/1/1975,降/辞/撤职,否,责任事故,因公务员考试泄题事件引咎辞职,是,3/18/2010,,,,,,,,,,,
2311,黄克,男,壮族,11/1/1956,广西壮族自治区,河池市,东兰县,硕士,10/1/1976,在职,,,,,,,,,,,,,,,,
2312,孙大光,男,汉族,12/1/1971,辽宁省,营口市,盖州县,博士后,4/1/1996,在职,,,,,,,,,,,,,,,,
2313,罗殿龙,男,壮族,5/1/1952,广西壮族自治区,贵港市,,硕士,3/1/1974,在职,,,,,,,,,,,,,,,,
2314,崔智友,男,汉族,10/1/1957,河南省,焦作市,温县,博士,12/1/1983,在职,,,,,,,,,,,,,,,,
2315,彭清华,男,汉族,4/1/1957,湖北省,黄石市,大冶县,博士,6/1/1976,在职,,,,,,,,,,,,,,,,
2316,危朝安,男,汉族,10/1/1955,江西省,抚州市,南城县,硕士,5/1/1983,在职,,,,,,,,,,,,,,,,
2317,周新建,男,汉族,11/1/1955,四川省,重庆市（直辖前）,,硕士,7/1/1980,在职,,,,,,,,,,,,,,,,
2318,石生龙,男,满族,10/1/1955,辽宁省,大连市,庄河县,硕士,6/1/1976,在职,,,,,,,,,,,,,,,,
2319,林念修,男,汉族,10/1/1963,山东省,烟台市,栖霞县,硕士,12/1/1983,在职,,,,,,,,,,,,,,,,
2320,郭声琨,男,汉族,10/1/1954,江西省,赣州市,兴国县,博士,12/1/1974,在职,,,,,,,,,,,,,,,,
2321,陆兵(广西壮族自治区),男,壮族,10/1/1944,广西壮族自治区,南宁市,武鸣县,本科,10/1/1976,在职,,,,,,,,,,,,,,,,
2322,陈际瓦,女,汉族,6/1/1954,四川省,广安市,,本科,1/1/1974,在职,,,,,,,,,,,,,,,,
2323,邓卫平,男,汉族,11/1/1955,福建省,福州市,福清市,专科,7/1/1973,在职,,,,,,,,,,,,,,,,
2324,曹伯纯,男,汉族,11/1/1941,湖南省,株洲市,,专科,,退休,,,,,,,,,,,,,,,,
2325,李兆焯,男,壮族,9/1/1944,广西壮族自治区,百色市,,本科,6/1/1974,退休,,,,,,,,,,,,,,,,
2326,王万宾,男,汉族,7/1/1949,山西省,阳泉市,,硕士,11/1/1974,在职,,,,,,,,,,,,,,,,
2327,潘琦,男,仫佬族,8/1/1944,广西壮族自治区,河池市,罗城仫佬族自治县,本科,6/1/1973,退休,,,,,,,,,,,,,,,,
2328,陈秀榕,女,汉族,12/1/1953,福建省,福州市,,本科,12/1/1971,在职,,,,,,,,,,,,,,,,
2329,邱石元,男,汉族,11/1/1943,湖南省,长沙市,,本科,4/1/1981,退休,,,,,,,,,,,,,,,,
2330,彭祖意,男,瑶族,12/1/1948,广西壮族自治区,桂林市,恭城瑶族自治县,硕士,4/1/1974,退休,,,,,,,,,,,,,,,,
2331,姜兴和,男,汉族,9/1/1946,辽宁省,铁岭市,,本科,10/1/1985,退休,,,,,,,,,,,,,,,,
2332,唐仁健,男,汉族,8/1/1962,四川省,重庆市（直辖前）,,博士,3/1/1991,在职,,,,,,,,,,,,,,,,
2333,马庆生,男,回族,1/1/1944,安徽省,阜阳市,,博士,2/1/1979,在职,,,,,,,,,,,,,,,,
2334,谢世杰,男,汉族,9/1/1934,四川省,重庆市（直辖前）,梁平县,专科,12/1/1954,退休,,,,,,,,,,,,,,,,
2335,魏宏,男,汉族,5/1/1954,山东省,临沂市,沂南县,硕士,6/1/1973,在职,,,,,,,,,,,,,,,,
2336,张中伟,男,汉族,2/1/1942,四川省,成都市,都江堰市,专科,9/1/1960,退休,,,,,,,,,,,,,,,,
2337,柯尊平,男,汉族,9/1/1956,陕西省,安康市,,博士,9/1/1975,在职,,,,,,,,,,,,,,,,
2338,叶万勇,男,汉族,9/1/1953,湖北省,武汉市,,硕士,10/1/1971,在职,,,,,,,,,,,,,,,,
2339,王怀臣,男,汉族,12/1/1953,河北省,邯郸市,大名县,硕士,3/1/1974,在职,,,,,,,,,,,,,,,,
2340,刘玉顺,男,汉族,7/1/1954,河北省,衡水市,武邑县,硕士,10/1/1978,在职,,,,,,,,,,,,,,,,
2341,刘鹏,男,汉族,9/1/1951,四川省,重庆市（直辖前）,合川区,硕士,5/1/1979,在职,,,,,,,,,,,,,,,,
2342,柳斌杰,男,汉族,9/1/1948,陕西省,咸阳市,长武县,硕士,8/1/1971,退休,,,,,,,,,,,,,,,,
2343,王少雄,男,汉族,12/1/1950,四川省,重庆市（直辖前）,武隆县,硕士,6/1/1973,在职,,,,,,,,,,,,,,,,
2344,郭永祥,男,汉族,2/1/1949,山东省,德州市,临邑县,硕士,1/1/1971,立案查处,是,贪污腐败,,否,6/1/2013,中纪委,,,,,,,,,,
2345,周光荣,男,汉族,8/1/1946,四川省,资阳市,安岳县,专科,6/1/1966,退休,,,,,,,,,,,,,,,,
2346,甘道明,男,汉族,2/1/1947,四川省,自贡市,富顺县,硕士,1/1/1985,在职,,,,,,,,,,,,,,,,
2347,黄新初,男,汉族,10/1/1957,湖北省,孝感市,,博士,10/1/1984,在职,,,,,,,,,,,,,,,,
