,姓名,性别,民族,出生日期(YYYY-MM-DD),籍贯省,籍贯市,籍贯县/区,最高学历,党派信息,现状,开除党籍,查处/罢黜原因,查处/罢黜原因备注,是否复出,查处/罢黜时间,最初查处单位,是否起诉,起诉罪名,涉案金额,一审时间,审理地点（一级地区关键词）,审理地点（二级地区关键词）,一审判决,是否上诉,二审时间,二审判决
1023,别必雄,男,汉族,1/1/1962,湖北省,,仙桃市,硕士,8/1/1982,在职,,,,,,,,,,,,,,,,
1024,王君正,男,汉族,5/1/1963,山东省,临沂市,,博士,11/1/1987,在职,,,,,,,,,,,,,,,,
1025,范锐平,男,汉族,4/1/1966,湖北省,荆门市,钟祥县,硕士,5/1/1985,在职,,,,,,,,,,,,,,,,
1026,叶贤林,男,汉族,8/1/1963,湖北省,黄石市,,本科,11/1/1992,在职,,,,,,,,,,,,,,,,
1027,韩进,男,汉族,9/1/1959,辽宁省,营口市,,本科,1/1/1989,在职,,,,,,,,,,,,,,,,
1028,陶宏,男,汉族,9/1/1965,湖北省,黄冈市,浠水县,硕士,6/1/1984,在职,,,,,,,,,,,,,,,,
1029,吴永文,男,汉族,6/1/1952,湖北省,荆门市,,硕士,1/1/1975,立案查处,,违纪,,否,1/20/2013,中纪委,,,,,,,,,,
1030,谢松保,男,汉族,2/1/1954,湖北省,荆州市,监利县,硕士,6/1/1972,退休,,,,,,,,,,,,,,,,
1031,马荣华,男,汉族,1/1/1948,湖北省,,天门市（副地级）,本科,,立案查处,否,贪污腐败,,否,8/1/2005,湖北省纪委,是,受贿罪,7万元人民币、1.9万元港币、2.6万美元,8/21/2007,湖北省,黄冈市,8年有期徒刑,是,3/4/2008,7年有期徒刑
1032,徐松南,男,汉族,6/1/1956,安徽省,安庆市,枞阳县,硕士,6/1/1979,在职,,,,,,,,,,,,,,,,
1033,梁惠玲,女,汉族,8/1/1962,湖北省,襄阳市,宜城市,硕士,10/1/1985,在职,,,,,,,,,,,,,,,,
1034,李兵,男,汉族,2/1/1962,湖北省,黄冈市,浠水县,本科,10/1/1984,在职,,,,,,,,,,,,,,,,
1035,肖菊华,女,汉族,10/1/1966,湖北省,黄冈市,罗田县,本科,7/1/1994,在职,,,,,,,,,,,,,,,,
1036,万勇,男,汉族,11/1/1960,湖北省,荆州市,洪湖市,本科,10/1/1985,在职,,,,,,,,,,,,,,,,
1037,王玲,女,汉族,12/1/1959,山东省,泰安市,宁阳县,硕士,10/1/1984,在职,,,,,,,,,,,,,,,,
1038,傅德辉,男,汉族,3/1/1958,湖北省,黄冈市,红安县,硕士,7/1/1975,在职,,,,,,,,,,,,,,,,
1039,刘力,男,汉族,1/1/1958,湖北省,武汉市,,本科,7/1/1988,在职,,,,,,,,,,,,,,,,
1040,许克振,男,汉族,7/1/1956,湖北省,,仙桃市（副地级）,硕士,2/1/1975,在职,,,,,,,,,,,,,,,,
1041,杨天然,男,土家族,1/1/1963,湖北省,恩施土家族苗族自治州,宣恩县,硕士,7/1/1984,在职,,,,,,,,,,,,,,,,
1042,岳勇,男,汉族,1/1/1956,湖北省,武汉市,,博士后,6/1/1990,在职,,,,,,,,,,,,,,,,
1043,梁伟年,男,汉族,10/1/1959,湖北省,随州市,,博士,9/1/1980,在职,,,,,,,,,,,,,,,,
1044,滕刚,男,汉族,6/1/1970,黑龙江省,七台河市,勃利县,博士,4/1/1991,在职,,,,,,,,,,,,,,,,
1045,黄关春,男,汉族,2/1/1959,湖北省,鄂州市,,硕士,9/1/1979,在职,,,,,,,,,,,,,,,,
1046,李建明,男,汉族,1/1/1963,湖北省,武汉市,,博士,1/1/1982,在职,,,,,,,,,,,,,,,,
1047,王祥喜,男,汉族,8/1/1962,湖北省,,仙桃市（副地级）,硕士,4/1/1987,在职,,,,,,,,,,,,,,,,
1048,应代明,男,汉族,7/1/1954,湖北省,宜昌市,当阳县,硕士,5/1/1973,在职,,,,,,,,,,,,,,,,
1049,李春明,男,汉族,10/1/1953,湖北省,十堰市,郧西县,博士,6/1/1975,在职,,,,,,,,,,,,,,,,
1050,陈安丽,女,汉族,11/1/1963,湖北省,孝感市,汉川市,硕士,4/1/1985,在职,,,,,,,,,,,,,,,,
1051,刘雪荣,男,汉族,9/1/1963,湖北省,,天门市（副地级）,硕士,4/1/1982,在职,,,,,,,,,,,,,,,,
1052,刘善桥,男,汉族,11/1/1956,湖北省,随州市,,硕士,4/1/1978,在职,,,,,,,,,,,,,,,,
1053,段远明,男,汉族,9/1/1948,湖北省,荆州市,公安县,,4/1/1985,退休,,,,,,,,,,,,,,,,
1054,丁小强,男,汉族,12/1/1972,江苏省,,东台市,博士,3/1/1994,在职,,,,,,,,,,,,,,,,
